  - 109 Convert Sorted List to Binary Search Tree  29.9% Medium
  - 90 Subsets II  29.9% Medium
  - 39 Combination Sum  30.3% Medium
  - 114 Flatten Binary Tree to Linked List  30.6% Medium
  - 78 Subsets  30.7% Medium
  - 279 Perfect Squares  31.5% Medium
  - 142 Linked List Cycle II  31.5% Medium
  - ~~331 Verify Preorder Serialization of a Binary Tree  31.6% Medium~~
  - 81 Search in Rotated Sorted Array II  31.8% Medium
  - 215 Kth Largest Element in an Array  32.1% Medium
  - 129 Sum Root to Leaf Numbers  32.1% Medium
  - 80 Remove Duplicates from Sorted Array II  32.2% Medium
  - 275 H-Index II  32.3% Medium
  - 313 Super Ugly Number  32.4% Medium
  - 334 Increasing Triplet Subsequence  32.7% Medium
  - ~~162 Find Peak Element  32.8% Medium~~
  - 284 Peeking Iterator  33.0% Medium
  - 73 Set Matrix Zeroes  33.0% Medium
  - 241 Different Ways to Add Parentheses  33.3% Medium
  - 199 Binary Tree Right Side View  33.3% Medium
  - 74 Search a 2D Matrix  33.3% Medium
  - 77 Combinations  33.5% Medium
  - 289 Game of Life  33.6% Medium
  - 173 Binary Search Tree Iterator  33.6% Medium
  - 300 Longest Increasing Subsequence  33.7% Medium
  - 240 Search a 2D Matrix II  33.7% Medium
  - 11 Container With Most Water  34.0% Medium
  - 48 Rotate Image  34.1% Medium
  - 59 Spiral Matrix II  34.2% Medium
  - 75 Sort Colors  34.3% Medium
  - 64 Minimum Path Sum  34.3% Medium
  - 216 Combination Sum III  34.6% Medium
  - 24 Swap Nodes in Pairs  34.6% Medium
  - 46 Permutations  34.9% Medium
  - 121 Best Time to Buy and Sell Stock  35.4% Medium
  - 153 Find Minimum in Rotated Sorted Array  35.6% Medium
  - 89 Gray Code  35.6% Medium
  - 62 Unique Paths  35.6% Medium
  - 22 Generate Parentheses  35.9% Medium
  - 309 Best Time to Buy and Sell Stock with Cooldown  36.0% Medium
  - 53 Maximum Subarray  36.2% Medium
  - 230 Kth Smallest Element in a BST  36.4% Medium
  - ~~116 Populating Next Right Pointers in Each Node  36.4% Medium~~
  - 108 Convert Sorted Array to Binary Search Tree  36.5% Medium
  - 141 Linked List Cycle  36.9% Medium
  - 96 Unique Binary Search Trees  36.9% Medium
  - 35 Search Insert Position  36.9% Medium
  - 137 Single Number II  37.0% Medium
  - 12 Integer to Roman  37.7% Medium
  - 318 Maximum Product of Word Lengths  38.9% Medium
  - 94 Binary Tree Inorder Traversal  38.9% Medium
